Date,Total
2023-06-01,6965.000152587891
2023-06-07,7776.077880859375
2023-07-17,13366.80923461914
2023-07-20,23198.012084960938
2023-07-21,29488.026580810547
2023-07-31,36427.68951416016
2023-08-04,37033.76831054688
2023-08-18,39395.47248840332
2023-08-24,47044.20022010803
2023-08-25,51581.9172000885
2023-08-28,60338.78894805908
2023-09-07,62134.129486083984
2023-09-15,67497.26819992065
2023-09-19,69446.54347419739
2023-10-12,67206.61296367645
2023-10-16,71927.17359542847
2023-10-17,72937.33601093292
2023-10-23,76366.0845041275
2023-10-26,73799.44857406616
2023-10-30,81211.78887081146
2023-11-02,87814.89182949066
2023-11-07,95344.75541591644
2023-11-09,93735.94071865082
2023-11-15,99262.60013580322
2023-11-28,105542.52055644988
2023-12-21,113077.31020450592
2024-01-08,109013.9032125473
2024-01-09,134292.9262161255
2024-01-23,147421.65722846985
2024-01-25,153587.9833841324
2024-01-26,148563.9899110794
2024-01-30,160039.3613576889
2024-01-31,159401.13156318665
2024-02-01,162310.80143928528
2024-02-02,174633.75734329224
2024-02-05,177497.47921466827
2024-02-08,174402.32791900635
2024-02-12,188629.86400604248
2024-02-13,195049.5584440232
2024-02-14,187834.0360593796
2024-02-15,198989.8359155655
2024-02-16,198279.11905288696
2024-02-20,197246.4452886581
2024-02-21,214787.89119243625
2024-02-22,210224.3350458145
2024-02-23,218952.3906755448
2024-02-26,211538.9537382126
2024-02-27,225724.394364357
2024-02-28,226513.0174922943
2024-03-05,219152.7164697647
2024-03-06,221700.1690006256
2024-03-07,232733.13885211945
2024-03-08,233240.3185176849
2024-03-11,231177.45271205905
2024-03-14,230093.736653328
2024-03-18,231350.3985500336
2024-03-19,222988.8757181168
2024-03-20,228633.69542121887
2024-03-21,226817.0855331421
2024-03-22,218059.7547483444
2024-03-25,227470.75785636905
2024-03-27,219260.3297996521
2024-03-28,219866.82896614075
2024-04-01,228648.18795204163
2024-04-08,238482.35112190247
2024-04-11,249096.2018942833
2024-04-19,244864.2664670944
2024-04-22,253231.61356925964
2024-04-23,251708.24222564697
2024-04-24,260099.98260498047
2024-04-29,275621.0353345871
2024-04-30,266612.2994308472
2024-05-01,253277.1532306671
2024-05-06,269461.82828330994
2024-05-08,276473.63290405273
2024-05-20,277251.0310020447
2024-05-22,275739.13017845154
2024-05-28,284270.6844139099
2024-05-29,273525.9659843445
2024-05-30,271282.96417427063
2024-05-31,278214.8672351837
2024-06-03,284902.7162513733
2024-06-04,286450.7265892029
2024-06-05,288460.2543563843
2024-06-07,295253.26038742065
2024-06-21,306784.12277030945
2024-06-25,300548.5080318451
2024-07-01,298946.32408332825
2024-07-02,288754.7500934601
2024-07-03,301457.00244522095
2024-07-10,332263.6179161072
2024-07-15,320670.84557914734
2024-07-22,320150.2931365967
2024-07-23,327409.58327674866
2024-07-24,325357.565700531
2024-07-31,329055.5000343323
2024-08-01,319607.571598053
2024-08-05,297213.0849914551
2024-08-06,302569.05309295654
2024-08-13,303769.23787498474
2024-08-14,315789.6525917053
2024-08-15,319379.27346611023
2024-08-16,316547.0595664978
2024-08-19,310597.1207523346
2024-08-20,310711.1001281738
2024-08-21,312435.2722015381
2024-08-22,327553.95918273926
2024-08-23,326462.3623828888
2024-08-26,325320.2067642212
2024-08-27,323432.2365550995
2024-08-28,320259.49133110046
2024-08-29,317816.29114341736
2024-08-30,322586.3349266052
2024-09-03,326945.2033557892
2024-09-04,318520.3175086975
2024-09-10,312554.589673996
2024-09-13,316912.9564304352
2024-09-16,323297.18819236755
2024-09-17,317584.0867500305
2024-09-18,315823.24118232727
2024-09-19,323239.62250328064
2024-09-20,322313.3749790192
2024-09-23,332398.8724498749
2024-09-24,326516.00628089905
2024-09-25,333849.8787727356
2024-09-26,325565.8046989441
2024-09-27,332556.66345977783
2024-09-30,339730.6258716583
2024-10-04,328607.83204841614
2024-10-07,323634.05969429016
2024-10-08,334915.8633785248
2024-10-11,328832.81234931946
2024-10-14,330694.67941474915
2024-10-15,328558.3062610626
2024-10-16,330490.47317123413
2024-10-17,330193.1230945587
2024-10-21,333901.4029827118
2024-10-22,334683.9477405548
2024-10-23,339151.99344444275
2024-10-24,345958.7801818848
2024-10-28,341684.2627067566
2024-10-29,353918.5282535553
2024-11-04,345883.2279281616
2024-11-06,361434.6138896942
2024-11-07,366174.3657436371
2024-11-11,361273.4359931946
2024-11-12,374892.0637245178
2024-11-13,372770.4687595368
2024-11-14,374385.57658576965
2024-11-15,365725.946641922
2024-11-18,348455.4540424347
2024-11-20,362011.6226081848
2024-11-21,350670.1670398712
2024-11-25,355674.13029289246
2024-11-26,355372.88164138794
2024-11-27,353961.22146606445
2024-12-02,350410.9044704437
2024-12-03,359445.3286552429
2024-12-04,355972.59243011475
2024-12-05,368286.7160358429
2024-12-06,360225.7310733795
2024-12-09,369075.3852367401
2024-12-12,376293.4073696137
2024-12-16,370200.6670227051
2024-12-18,376193.4605941773
2024-12-19,365652.6747722626
2024-12-24,385826.2776432037
2025-01-02,370114.1141014099
2025-01-06,377071.2665500641
2025-01-07,369279.1689414978
2025-01-08,367860.48314094543
2025-01-10,362407.51221847534
2025-01-13,361497.8738422394
2025-01-14,369222.54369163513
2025-01-15,372397.49147605896
2025-01-16,368409.2825489044
2025-01-17,376683.0110988617
2025-01-22,402539.9532699585
2025-01-23,394022.1143131256
2025-01-24,394164.4537448883
2025-01-27,392346.9067668915
2025-01-30,395883.393611908
2025-02-03,397468.7605743408
2025-02-05,406430.98233413696
2025-02-10,407682.8783664704
2025-02-21,386488.7324371338
2025-04-21,332070.5196666717
2025-04-22,338612.43403816223
2025-04-24,363977.0693283081
2025-04-28,361332.8088092804
2025-04-30,361378.02119255066
2025-05-12,380279.87105178833
2025-05-13,397853.6058883667
2025-05-14,403368.2337627411
2025-05-15,392648.2276420593
2025-05-21,395150.83390045166
2025-05-22,389767.254737854
2025-05-23,398144.33474731445
2025-05-27,399264.2032299042
2025-05-29,403414.4783229828
2025-06-03,396689.4870948792
2025-06-09,404096.2600193024
2025-06-10,399215.2259044647
2025-06-11,409729.8070201874
2025-06-12,412375.7732639313
2025-07-02,428917.02156066895
2025-07-09,432676.9235801697
2025-07-10,431491.7282733917
2025-07-14,427988.7576179504
2025-07-15,440497.3556880951
2025-07-16,445447.14427375793
2025-07-17,438878.2192134857
