Symbol,XIRR,XIRR (%)
NET,0.46205761953462915,46.20576195346292
NVDA,0.23316199309472957,23.316199309472957
SPY,0.2313926598278668,23.13926598278668
MSFT,0.21776609350515042,21.77660935051504
AMZN,0.2741845080836894,27.418450808368938
GOOG,0.1904474709195707,19.04474709195707
SE,0.9983108843303777,99.83108843303778
TSLA,0.3877391727026753,38.77391727026753
MARA,0.3844836349285485,38.448363492854845
NU,0.176775543802621,17.6775543802621
IBIT,0.8231145602873837,82.31145602873838
C6L,0.0735194812171016,7.351948121710159
AAPL,0.08364357852833597,8.364357852833598
AXP,0.29726316688645665,29.726316688645664
GOOGL,-0.09523216647557756,-9.523216647557756
ORCL,0.8499838048005868,84.99838048005867
